Company Name,Rating,Review Count,Company Type,Headquarters,Company Age,Number of Employees
TCS,3.9,16.1k Reviews,Public,Mumbai + 156 more,52 years old,10000+ employees
Accenture,4.0,13.9k Reviews,Private,Dublin + 40 more,31 years old,10000+ employees
ICICI Bank,4.1,12.6k Reviews,Public,Mumbai + 42 more,26 years old,10000+ employees
Cognizant,3.9,12k Reviews,Private,Teaneck + 39 more,26 years old,10000+ employees
HDFC Bank,4.0,10.8k Reviews,Public,Mumbai + 46 more,26 years old,10000+ employees
Infosys,3.9,10.7k Reviews,Public,Bangalore + 40 more,39 years old,10000+ employees
L&T,4.1,10.1k Reviews,Public,Mumbai + 45 more,82 years old,10000+ employees
Capgemini,3.3,9.5k Reviews,Private,Paris + 36 more,53 years old,10000+ employees
Tech Mahindra,3.5,9k Reviews,Public,Pune + 45 more,34 years old,10000+ employees
HCL Technologies,3.7,8.6k Reviews,Public,Noida + 45 more,14 years old,10000+ employees
Tata Motors,4.1,8.2k Reviews,Public,Pune + 45 more,75 years old,10000+ employees
IBM,4.0,8.1k Reviews,Private,New York + 41 more,109 years old,10000+ employees
Reliance jio,4.0,7.8k Reviews,Public,Navi Mumbai + 43 more,10 years old,10000+ employees
Genpact,4.0,7.6k Reviews,Private,New York + 35 more,23 years old,10000+ employees
Axis Bank,4.0,7.5k Reviews,Public,Mumbai + 46 more,27 years old,10000+ employees
Wipro,3.8,6.4k Reviews,Public,Bangalore + 44 more,75 years old,10000+ employees
Concentrix Daksh Service...,4.0,6.1k Reviews,,New Delhi + 37 more,21 years old,10000+ employees
Vodafone,4.3,5.9k Reviews,Public,Berkshire + 50 more,38 years old,10000+ employees
HDB Financial Services,4.0,5.4k Reviews,Private,Ahmedabad + 42 more,13 years old,10000+ employees
Bharti Airtel,4.2,5.4k Reviews,Public,New Delhi + 47 more,25 years old,10000+ employees
Kotak Mahindra Bank,3.8,5.1k Reviews,Public,Mumbai + 41 more,17 years old,10000+ employees
Amazon,4.2,4.8k Reviews,Private,Washington + 44 more,26 years old,10000+ employees
Reliance,4.2,4.5k Reviews,Public,Mumbai + 45 more,54 years old,10000+ employees
Hinduja Global Solutions,3.9,4.1k Reviews,Public,Bangalore + 43 more,20 years old,10000+ employees
Bajaj Finserv,4.1,3.7k Reviews,Public,Pune + 45 more,13 years old,10000+ employees
IndusInd Bank,3.6,3.7k Reviews,Public,Mumbai + 43 more,26 years old,10000+ employees
Samsung,4.2,3.5k Reviews,Private,Seoul + 45 more,82 years old,10000+ employees
Indian Army,4.7,3.4k Reviews,Govt agency,New Delhi + 44 more,125 years old,10000+ employees
Mahindra & Mahindra,4.3,3.2k Reviews,Public,Mumbai + 45 more,75 years old,10000+ employees
Ericsson,4.1,3.1k Reviews,Private,Stockholm + 44 more,144 years old,10000+ employees
Maruti Suzuki,4.2,3.1k Reviews,Public,"New Delhi,India + 44 more",39 years old,10000+ employees
IDEA Cellular,4.3,3k Reviews,Partnership,Mumbai + 43 more,25 years old,10000+ employees
Intelenet Global Service...,3.7,2.9k Reviews,Private,Mumbai + 38 more,20 years old,10000+ employees
WNS,3.7,2.8k Reviews,Private,Mumbai + 18 more,24 years old,10000+ employees
Teleperformance,3.8,2.8k Reviews,Private,Paris + 40 more,42 years old,10000+ employees
